# 造序注音 orthographic variant rules（人工維護，Apache-2.0）
# 只列同一個字的正字／異體寫法；語義不同的字絕不放進這張表。
# 欄位：canonical<TAB>variant<TAB>note
台	臺	臺為正字，台為通行寫法（臺北／台北）
裡	裏	同字異體
污	汙	同字異體
群	羣	同字異體
峰	峯	同字異體
嘆	歎	同字異體
床	牀	同字異體
秘	祕	同字異體
